CAS Number,Chemical Name,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age Mean Op,Organism Age Mean,Organism Age Min Op,Organism Age Min,Organism Age Max Op,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration Mean Op (Days),Observed Duration Mean (Days),Observed Duration Min Op (Days),Observed Duration Min (Days),Observed Duration Max Op (Days),Observed Duration Max (Days),Observed Duration Units (Days),Exposure Duration Mean Op (Author),Exposure Duration Mean (Author),Exposure Duration Min Op (Author),Exposure Duration Min (Author),Exposure Duration Max Op (Author),Exposure Duration Max (Author),Exposure Duration Units (Author),Exposure Duration Mean Op (Days),Exposure Duration Mean (Days),Exposure Duration Min Op (Days),Exposure Duration Min (Days),Exposure Duration Max Op (Days),Exposure Duration Max (Days),Exposure Duration Units (Days),Author,Reference Number,Title,Source,Publication Year
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Engystomops pustulosus,Tungara Frog,Amphibians,Tadpole,,25,,,,,Growing season,Renewal,Fresh water,Lab,,Active ingredient,,1.514,,1.04,,1.827,AI mg/L,Mortality,Mortality,LC01,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Bernal,M.H., K.R. Solomon, and G. Carrasquilla",117668,Toxicity of Formulated Glyphosate (Glyphos) and Cosmo-Flux to Larval Colombian Frogs 1.  Laboratory Acute Toxicity,J. Toxicol. Environ. Health Part A72(15): 961-965,2009
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Hypsiboas crepitans,Emerald-Eyed Tree Frog,Amphibians,Tadpole,,25,,,,,Growing season,Lentic ,Fresh water,Field artificial,6,Active ingredient,,4.8,,,,,ae kg/ha,Mortality,Mortality,LC01,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Bernal,M.H., K.R. Solomon, and G. Carrasquilla",117666,Toxicity of Formulated Glyphosate (Glyphos) and Cosmo-Flux to Larval and Juvenile Colombian Frogs 2.  Field and Laboratory Microcosm Acute Toxicity,J. Toxicol. Environ. Health Part A72(15): 966-973,2009
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Centrolene prosoblepon,Glass Frog,Amphibians,Tadpole,,25,,,,,Growing season,Renewal,Fresh water,Lab,,Active ingredient,,1.145,,,,,AI mg/L,Mortality,Mortality,LC01,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Bernal,M.H., K.R. Solomon, and G. Carrasquilla",117668,Toxicity of Formulated Glyphosate (Glyphos) and Cosmo-Flux to Larval Colombian Frogs 1.  Laboratory Acute Toxicity,J. Toxicol. Environ. Health Part A72(15): 961-965,2009
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Hypsiboas crepitans,Emerald-Eyed Tree Frog,Amphibians,Tadpole,,25,,,,,Growing season,Renewal,Fresh water,Lab,,Active ingredient,,0.984,,0.645,,1.225,AI mg/L,Mortality,Mortality,LC01,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Bernal,M.H., K.R. Solomon, and G. Carrasquilla",117668,Toxicity of Formulated Glyphosate (Glyphos) and Cosmo-Flux to Larval Colombian Frogs 1.  Laboratory Acute Toxicity,J. Toxicol. Environ. Health Part A72(15): 961-965,2009
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Rhinella granulosa,Toad,Amphibians,Tadpole,,25,,,,,Growing season,Lentic ,Fresh water,Field artificial,6,Active ingredient,,6.4,,,,,ae kg/ha,Mortality,Mortality,LC01,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Bernal,M.H., K.R. Solomon, and G. Carrasquilla",117666,Toxicity of Formulated Glyphosate (Glyphos) and Cosmo-Flux to Larval and Juvenile Colombian Frogs 2.  Field and Laboratory Microcosm Acute Toxicity,J. Toxicol. Environ. Health Part A72(15): 966-973,2009
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Rhinella granulosa,Toad,Amphibians,Tadpole,,25,,,,,Growing season,Renewal,Fresh water,Lab,,Active ingredient,,1.3,,0.737,,1.632,AI mg/L,Mortality,Mortality,LC01,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Bernal,M.H., K.R. Solomon, and G. Carrasquilla",117668,Toxicity of Formulated Glyphosate (Glyphos) and Cosmo-Flux to Larval Colombian Frogs 1.  Laboratory Acute Toxicity,J. Toxicol. Environ. Health Part A72(15): 961-965,2009
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Scinax ruber,Red Snouted Treefrog,Amphibians,Tadpole,,25,,,,,Growing season,Renewal,Fresh water,Lab,,Active ingredient,,1.103,,0.716,,1.294,AI mg/L,Mortality,Mortality,LC01,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Bernal,M.H., K.R. Solomon, and G. Carrasquilla",117668,Toxicity of Formulated Glyphosate (Glyphos) and Cosmo-Flux to Larval Colombian Frogs 1.  Laboratory Acute Toxicity,J. Toxicol. Environ. Health Part A72(15): 961-965,2009
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates clamitans ssp. clamitans,Bronze Frog,Amphibians,Larva,,25,,,,,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,0.89,,0.7,,1.1,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates clamitans ssp. clamitans,Bronze Frog,Amphibians,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,2.6,,0,,6,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Leptodactylus latrans,Criolla Frog,Amphibians,Larva,,36,,,,,Gosner stage,Renewal,Fresh water,Lab,7,Active ingredient,,7.84,,5.94,,8.52,ae mg/L,Mortality,Mortality,LC10,,,3,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Bach,N.C., G.S. Natale, G.M. Somoza, and A.E. Ronco",178898,"Effect on the Growth and Development and Induction of Abnormalities by a Glyphosate Commercial Formulation and Its Active Ingredient During Two Developmental Stages of the South-American Creole Frog, Leptodactylus latra",Environ. Sci. Pollut. Res.23:23959-23971,2016
