"","Percentile","HC.Value","HC.Upper.CI","HC.Lower.CI","Distribution","Data.ID"
"1",0.01,0.195805467629701,0.517857038173961,0.0692491720326855,"llogis","Glyphosate.LC10"
"2",0.05,0.439021315876055,0.907078286343293,0.219828565666852,"llogis","Glyphosate.LC10"
"3",0.1,0.632731382014433,1.17868663598901,0.352429669141846,"llogis","Glyphosate.LC10"
"4",0.15,0.793407597535716,1.41900458949115,0.474052211775172,"llogis","Glyphosate.LC10"
"5",0.2,0.940781026813097,1.55957442094117,0.550870976869938,"llogis","Glyphosate.LC10"
"6",0.25,1.08293405872564,1.71195309229947,0.677558894627649,"llogis","Glyphosate.LC10"
"7",0.3,1.22458729647862,1.92198569907557,0.779662376667292,"llogis","Glyphosate.LC10"
"8",0.35,1.36924024512524,2.17041692315966,0.900621107777273,"llogis","Glyphosate.LC10"
"9",0.4,1.52002266151464,2.2666751348811,1.01117439298904,"llogis","Glyphosate.LC10"
"10",0.45,1.68017827721751,2.58549906212673,1.10678575071621,"llogis","Glyphosate.LC10"
"11",0.5,1.85346611355725,2.75620136639185,1.20996146097132,"llogis","Glyphosate.LC10"
"12",0.55,2.04462626418082,3.1409110438922,1.3043540467328,"llogis","Glyphosate.LC10"
"13",0.6,2.2600561959266,3.5749649296512,1.47141067704372,"llogis","Glyphosate.LC10"
"14",0.65,2.50893635819971,3.90846102668349,1.59046072944789,"llogis","Glyphosate.LC10"
"15",0.7,2.8053015444334,4.50210702266577,1.70025381024395,"llogis","Glyphosate.LC10"
"16",0.75,3.17224913781692,5.11513840269002,1.93578882612527,"llogis","Glyphosate.LC10"
"17",0.8,3.65157941773362,6.26735102750835,2.10228824837736,"llogis","Glyphosate.LC10"
"18",0.85,4.32985094266174,7.42740549499718,2.4609019865556,"llogis","Glyphosate.LC10"
"19",0.9,5.42937608557978,9.61277926005719,2.91927724479433,"llogis","Glyphosate.LC10"
"20",0.95,7.82498824060486,16.038736497156,3.69736594916272,"llogis","Glyphosate.LC10"
"21",0.99,17.5446409933852,48.550898522576,6.39920855205715,"llogis","Glyphosate.LC10"
