,Study,Stage,Study_Type,Pesticide,Species,Duration_h,Method,Application_Rate,Unit,Survival,M_Body_Weight_g,SD,Body_Length_mm,ExposedSkin_cm2,N_Rep,Rep,N_Exp,N_Total,half_life,adj_sur_96,dermaldose,N_s
1,Belden_2010,Juvenile,Lab,Pyraclostrobin_Headline,Anaxyrus cognatus,72,Overspray,0,ug a.i./cm2,0.96,1.06,0.053,22,2.53,10,3,30,NA,1222.541857,0.947,0,28
2,Belden_2010,Juvenile,Lab,Pyraclostrobin_Headline,Anaxyrus cognatus,72,Overspray,0.22,ug a.i./cm2,0.93,1.06,0.053,22,2.53,10,3,30,NA,687.6963007,0.908,0.636207663,27
3,Belden_2010,Juvenile,Lab,Pyraclostrobin_Headline,Anaxyrus cognatus,72,Overspray,2.2,ug a.i./cm2,0.34,1.06,0.053,22,2.53,10,3,30,NA,46.26079909,0.237,0.695610335,7
4,Belden_2010,Juvenile,Lab,Pyraclostrobin_Headline,Anaxyrus cognatus,72,Overspray,22,ug a.i./cm2,0,1.06,0.053,22,2.53,10,3,30,117.9,0,0,0.760559432,0
45,Bruhl_2013,Juvenile,Lab,Pyraclostrobin_Headline,Rana temporaria ,168,Overspray,0,ug a.i./cm2,0.93,0.96,0.25,21,2.31,10,4,40,NA,1604.624702,0.959,0,38
46,Bruhl_2013,Juvenile,Lab,Pyraclostrobin_Headline,Rana temporaria ,168,Overspray,0.22,ug a.i./cm2,1,0.84,0.19,21,2.31,5,1,5,NA,Inf,1,0.697416281,5
47,Bruhl_2013,Juvenile,Lab,Pyraclostrobin_Headline,Rana temporaria ,168,Overspray,2.2,ug a.i./cm2,0,1.02,0.25,21,2.31,3,1,3,48,0,0,0.706256957,0
39,Cusaac_2015,Juvenile,Semi-Field,Pyraclostrobin_AMP,Anaxyrus woodhousii ,48,Overspray,0,ug a.i./cm2,1,0.45,0.034,NA,NA,NA,NA,75,NA,Inf,1,0,75
40,Cusaac_2015,Juvenile,Semi-Field,Pyraclostrobin_AMP,Acris blanchardi,48,Overspray,0,ug a.i./cm2,0.93,0.49,0.025,NA,NA,NA,NA,42,NA,458.4642005,0.865,0,36
41,Cusaac_2015,Juvenile,Semi-Field,Pyraclostrobin_AMP,Anaxyrus woodhousii ,48,Overspray,1.06,ug a.i./cm2,1,0.45,0.034,NA,NA,NA,NA,73,NA,Inf,1,0.94842685,73
