"Dataset Index","Dose","N","Effect"
"exp_n819",0,30,0
"exp_n819",0.697699118359355,30,21
"exp_n819",0.704161759446272,2,0
"exp_n819",0.714351206598048,30,2
"exp_n819",0.730876555846501,30,23
"exp_n819",0.735295936164501,30,6
"exp_n819",0.746880986876551,2,0
"exp_n819",0.750575107039867,71,0
"exp_n819",0.75456237569216,30,8
"exp_n819",0.75467559486824,3,0
"exp_n819",0.762344448128556,3,3
"exp_n819",0.772341427562236,30,16
"exp_n819",0.794095831786901,30,20
"exp_n819",0.821350207552688,30,28
"exp_n819",0.821383505205747,30,30
"exp_n819",0.827214166221193,4,0
"exp_n819",0.835090829907523,30,7
"exp_n819",0.839589516717723,30,1
"exp_n819",0.842819346065103,1,0
"exp_n819",0.843101779677749,4,0
"exp_n819",0.85314530965706,30,5
"exp_n819",0.860171633019787,5,0
"exp_n819",0.878337252405784,30,1
"exp_n819",0.905933797455719,30,2
"exp_n819",0.912344440591642,30,30
"exp_n819",0.913221094558864,30,0
"exp_n819",0.914622737889195,17,1
"exp_n819",0.915801685117185,73,0
"exp_n819",0.920416413818733,30,3
"exp_n819",0.935056949083695,36,1
"exp_n819",0.939121772070967,30,13
"exp_n819",0.94496634888216,2,0
"exp_n819",0.967197384902302,30,29
"exp_n819",0.983174220317624,30,9
"exp_n819",0.993732360358183,30,18
"exp_n819",0.994804901141051,30,16
"exp_n819",0.996176152268904,30,14
"exp_n819",1.02114396851126,30,29
"exp_n819",1.05427903819058,4,2
"exp_n82",0,30,0
"exp_n82",0.695409710749749,2,0
"exp_n82",0.696284660496491,30,23
"exp_n82",0.722324137162038,30,21
"exp_n82",0.731982701373043,30,6
"exp_n82",0.73963706149881,3,0
"exp_n82",0.751564912701006,3,3
"exp_n82",0.754772150348426,2,0
"exp_n82",0.759878059903175,30,1
"exp_n82",0.762545637193009,30,7
"exp_n82",0.766961460864497,71,0
"exp_n82",0.769540852327179,30,7
"exp_n82",0.779576284524581,30,19
"exp_n82",0.800448106430071,30,23
"exp_n82",0.806748822482172,4,0
"exp_n82",0.810015296002697,4,0
"exp_n82",0.831426989514778,30,30
"exp_n82",0.839116061870162,30,5
"exp_n82",0.839154195602967,30,1
"exp_n82",0.847987376845913,1,0
"exp_n82",0.878987043357266,30,28
"exp_n82",0.891255816619793,30,3
"exp_n82",0.896105222453203,5,0
"exp_n82",0.900973036676366,30,2
"exp_n82",0.914078819095098,30,1
"exp_n82",0.91968129680644,17,0
"exp_n82",0.92224562274559,73,0
"exp_n82",0.927857477925809,30,1
"exp_n82",0.93571522852679,36,2
"exp_n82",0.943947426933707,30,10
"exp_n82",0.945450452116589,2,1
"exp_n82",0.949611452125368,30,2
"exp_n82",0.957101004269625,30,25
"exp_n82",0.968454192092488,30,26
"exp_n82",0.987516158888297,30,16
"exp_n82",0.987795310754144,30,12
"exp_n82",0.989970793755477,30,16
"exp_n82",1.0026203805169,4,1
"exp_n82",1.00265822101711,30,28
"exp_n820",0,30,0
"exp_n820",0.6922082288513,30,25
"exp_n820",0.695698505477557,2,0
"exp_n820",0.710276341056629,30,24
"exp_n820",0.710657836073543,30,5
"exp_n820",0.734944927494484,3,0
"exp_n820",0.747878548186968,71,0
"exp_n820",0.748314392358251,30,4
"exp_n820",0.749247631635164,30,8
"exp_n820",0.752661175927784,3,3
"exp_n820",0.752667107282181,2,0
"exp_n820",0.764554090610753,30,8
"exp_n820",0.778099185957817,30,14
"exp_n820",0.79599174763348,30,24
"exp_n820",0.810425287936296,4,0
"exp_n820",0.812986269224351,4,0
"exp_n820",0.814599974057195,30,30
"exp_n820",0.834239325524216,1,0
"exp_n820",0.836806872154185,30,3
"exp_n820",0.842448980488092,30,2
"exp_n820",0.868526218228931,5,0
"exp_n820",0.879533547716883,30,3
"exp_n820",0.889089351839022,30,29
"exp_n820",0.894283659899083,30,1
"exp_n820",0.908376741327315,30,3
"exp_n820",0.915272143415497,73,0
"exp_n820",0.921652034975984,30,2
"exp_n820",0.928837207265114,36,2
"exp_n820",0.928931626619299,17,4
"exp_n820",0.932007496281459,30,1
"exp_n820",0.935626273646427,2,1
"exp_n820",0.94040717071038,30,11
"exp_n820",0.965426479259313,30,26
"exp_n820",0.968811136845174,30,17
"exp_n820",0.981098515581311,30,10
"exp_n820",0.986100965055329,30,21
"exp_n820",0.986728797250567,30,13
"exp_n820",1.0076754037606,30,29
"exp_n820",1.01942578454689,4,0
"exp_n821",0,30,0
"exp_n821",0.716817579566032,2,0
"exp_n821",0.717453419597627,30,26
"exp_n821",0.717459526203905,30,9
"exp_n821",0.758339182268824,30,17
"exp_n821",0.760490553273288,30,6
"exp_n821",0.7660499273095,71,0
"exp_n821",0.774363230750043,3,0
"exp_n821",0.778172111943135,2,0
"exp_n821",0.7826435887054,30,8
"exp_n821",0.788687746728879,30,8
"exp_n821",0.793293720761247,3,3
"exp_n821",0.822505173050947,30,16
"exp_n821",0.840478240063215,4,0
"exp_n821",0.851128562551773,30,27
"exp_n821",0.864080830731217,1,0
"exp_n821",0.865582221495102,30,4
"exp_n821",0.869667538530669,30,1
"exp_n821",0.87456014806294,30,2
"exp_n821",0.879292785171221,5,0
"exp_n821",0.889219822209752,4,0
"exp_n821",0.889848420196699,30,30
"exp_n821",0.909097707061153,30,3
"exp_n821",0.933226296651543,30,2
