set,Dose,N,Effect
exp_n1,0,337,15
exp_n1,0.703993646,2,0
exp_n1,0.709425605,30,22
exp_n1,0.727686754,30,24
exp_n1,0.731650379,30,4
exp_n1,0.757961329,3,0
exp_n1,0.760153753,2,0
exp_n1,0.760355397,71,0
exp_n1,0.765849429,30,7
exp_n1,0.767200008,30,6
exp_n1,0.773095369,3,1
exp_n1,0.782483637,30,7
exp_n1,0.793844538,30,18
exp_n1,0.818375632,4,0
exp_n1,0.823043157,30,30
exp_n1,0.823080201,30,27
exp_n1,0.839330061,4,0
exp_n1,0.852956128,30,3
exp_n1,0.856816856,30,5
exp_n1,0.858106346,1,0
exp_n1,0.89089016,5,0
exp_n1,0.894990746,30,5
exp_n1,0.898099676,30,1
exp_n1,0.898698092,30,30
exp_n1,0.927515364,30,1
exp_n1,0.935171973,17,5
exp_n1,0.93569515,73,0
exp_n1,0.936784885,30,3
exp_n1,0.946344381,30,3
exp_n1,0.947590729,36,2
exp_n1,0.957752681,30,14
exp_n1,0.966245615,2,1
exp_n1,0.98603918,30,30
exp_n1,0.993453968,30,23
exp_n1,1.001565575,30,15
exp_n1,1.002007747,30,15
exp_n1,1.009505177,30,18
exp_n1,1.025266766,30,29
exp_n1,1.045766003,4,2
exp_n10,0,337,20
exp_n10,0.708703678,2,0
exp_n10,0.711919556,30,22
exp_n10,0.721916073,30,6
exp_n10,0.729849418,30,21
exp_n10,0.756622048,71,0
exp_n10,0.763668492,30,14
exp_n10,0.764129399,30,6
exp_n10,0.765179136,2,0
exp_n10,0.768669644,3,3
exp_n10,0.772472828,3,0
exp_n10,0.782463018,30,6
exp_n10,0.811370482,4,0
exp_n10,0.815381641,30,30
exp_n10,0.818618622,30,17
exp_n10,0.847309277,30,3
exp_n10,0.847647086,4,0
exp_n10,0.848256037,30,2
exp_n10,0.853253039,1,0
exp_n10,0.860406306,30,30
exp_n10,0.885380099,30,3
exp_n10,0.886564292,5,0
exp_n10,0.904062658,30,30
exp_n10,0.909091431,30,1
exp_n10,0.921626073,30,5
exp_n10,0.934629021,73,0
exp_n10,0.935287139,30,1
exp_n10,0.940993734,17,2
exp_n10,0.942012698,36,2
exp_n10,0.942036422,30,0
exp_n10,0.95361967,2,1
exp_n10,0.962742138,30,14
exp_n10,0.977052286,30,28
exp_n10,0.987014038,30,20
exp_n10,0.990809927,30,14
exp_n10,0.995606197,30,11
exp_n10,1.007762931,30,17
exp_n10,1.019238987,30,28
exp_n10,1.046797057,4,0
exp_n100,0,337,17
exp_n100,0.695780165,2,0
exp_n100,0.703050034,30,22
exp_n100,0.71553265,30,5
exp_n100,0.726105455,30,22
exp_n100,0.744963362,3,0
exp_n100,0.749845232,2,0
exp_n100,0.753539687,71,0
exp_n100,0.753973238,30,10
exp_n100,0.766054593,30,6
exp_n100,0.766928024,3,3
exp_n100,0.785719518,30,7
exp_n100,0.801348447,30,19
exp_n100,0.811823704,30,30
exp_n100,0.81278471,30,22
exp_n100,0.820294797,4,0
exp_n100,0.835791519,4,0
exp_n100,0.841394079,30,2
exp_n100,0.842101335,1,0
exp_n100,0.84570617,30,1
exp_n100,0.869598365,30,1
exp_n100,0.871884391,5,0
exp_n100,0.886709863,30,3
exp_n100,0.900856821,30,30
exp_n100,0.903783568,30,0
exp_n100,0.917442018,17,5
exp_n100,0.918049899,73,0
exp_n100,0.919483427,30,0
exp_n100,0.920984672,30,1
exp_n100,0.938420953,36,1
exp_n100,0.941468767,2,0
exp_n100,0.948069729,30,13
exp_n100,0.975009856,30,30
exp_n100,0.985393375,30,21
exp_n100,0.989409374,30,12
exp_n100,0.989700887,30,22
exp_n100,0.991066744,30,10
exp_n100,1.02189782,30,29
exp_n100,1.046240167,4,0
exp_n1000,0,337,7
