"","set","Dose","N","Effect"
"1","exp_n1",0,282,11
"2","exp_n1",8.27866029950475e-05,10,6
"3","exp_n1",8.62752161963293e-05,5,5
"4","exp_n1",8.86265035371736e-05,9,7
"5","exp_n1",0.000123615683754374,9,0
"6","exp_n1",0.000126086661881924,10,2
"7","exp_n1",0.000128512847554152,5,0
"8","exp_n1",0.000131742631646084,5,1
"9","exp_n1",0.000134899414490212,9,2
"10","exp_n1",0.000143921324505006,10,10
"11","exp_n1",0.000145126717912379,5,0
"12","exp_n1",0.000148516904863207,10,4
"13","exp_n1",0.000149077996035647,9,0
"14","exp_n1",0.00015106885711067,9,4
"15","exp_n1",0.000152341429575145,5,4
"16","exp_n1",0.000152931226006156,5,5
"17","exp_n1",0.000158703195040081,9,5
"18","exp_n1",0.00016042657621102,5,5
"19","exp_n1",0.00016275298387127,10,5
"20","exp_n1",0.000171603438173673,5,0
"21","exp_n1",0.000177795693662141,10,3
"22","exp_n1",0.000182922615078472,5,0
"23","exp_n1",0.000187028097114228,9,1
"24","exp_n1",0.000199052002009656,10,10
"25","exp_n1",0.000213169283297688,9,1
"26","exp_n1",0.000216697356242121,10,1
"27","exp_n1",0.000232303131627488,5,0
"28","exp_n1",0.000235068126016981,10,4
"29","exp_n1",0.000235516605664863,5,2
"30","exp_n1",0.000237428808256033,10,10
"31","exp_n1",0.00023890289553717,9,2
"32","exp_n1",0.000250388132823907,5,5
"33","exp_n1",0.000265480356615044,5,1
"34","exp_n1",0.00027478488940915,9,6
"35","exp_n10",0,282,13
"36","exp_n10",8.49271853615602e-05,10,6
"37","exp_n10",8.83949248608899e-05,5,5
"38","exp_n10",9.17519050823461e-05,9,9
"39","exp_n10",0.000125389262004901,5,0
"40","exp_n10",0.000128088472059294,9,0
"41","exp_n10",0.000129472666378347,10,4
"42","exp_n10",0.00013241959808325,5,1
"43","exp_n10",0.000137158677479448,9,4
"44","exp_n10",0.00014356472717806,5,0
"45","exp_n10",0.000145828491028055,9,6
"46","exp_n10",0.000148903898209098,10,9
"47","exp_n10",0.00015045706731247,9,0
"48","exp_n10",0.000151647491267241,10,3
"49","exp_n10",0.000156468727726941,5,5
"50","exp_n10",0.000156874999681254,5,3
"51","exp_n10",0.000163184284251766,9,4
"52","exp_n10",0.000166007405985019,10,5
"53","exp_n10",0.000173739117436392,5,4
"54","exp_n10",0.00017632034762452,5,0
"55","exp_n10",0.000177328597445695,10,0
"56","exp_n10",0.000192788171574654,5,0
"57","exp_n10",0.000197865211816572,9,1
"58","exp_n10",0.000203054014290245,10,10
"59","exp_n10",0.000218061259880028,10,1
"60","exp_n10",0.000221822873654672,5,0
"61","exp_n10",0.000225432667485581,10,2
"62","exp_n10",0.000237975395468415,5,1
"63","exp_n10",0.000239747904721048,9,1
"64","exp_n10",0.000247140669167953,10,8
"65","exp_n10",0.000247525285090113,9,1
