set,Dose,N,Effect
exp_n1,0,285,10
exp_n1,0.002354913,5,0
exp_n1,0.004745733,5,1
exp_n1,0.010751393,5,5
exp_n1,0.020734876,5,5
exp_n1,0.043494961,5,5
exp_n1,0.00216072,5,0
exp_n1,0.004190736,5,0
exp_n1,0.00926335,5,0
exp_n1,0.017916769,5,1
exp_n1,0.038331714,5,3
exp_n1,0.00394392,5,0
exp_n1,0.007410673,5,2
exp_n1,0.015490022,5,3
exp_n1,0.001548569,10,4
exp_n1,0.005133286,10,4
exp_n1,0.012297824,10,7
exp_n1,0.024349396,10,8
exp_n1,0.044514498,10,10
exp_n1,0.003163096,9,0
exp_n1,0.006185371,9,0
exp_n1,0.012281631,9,1
exp_n1,0.025383401,9,0
exp_n1,0.055822418,9,8
exp_n1,0.0016946,10,2
exp_n1,0.005997674,10,1
exp_n1,0.008812342,10,3
exp_n1,0.018005515,10,7
exp_n1,0.038332187,10,5
exp_n1,0.003561356,9,2
exp_n1,0.007252615,9,3
exp_n1,0.015302936,9,7
exp_n1,0.032798416,9,5
exp_n1,0.063036291,9,9
exp_n1,0.012870417,3,0
exp_n1,0.017436204,3,0
exp_n1,0.021968925,3,3
exp_n1,0.026385372,3,3
exp_n1,0.040050909,3,3
exp_n2,0,285,10
exp_n2,0.002498901,5,0
exp_n2,0.00582077,5,0
exp_n2,0.011409356,5,5
exp_n2,0.021205086,5,5
exp_n2,0.044367731,5,5
exp_n2,0.002207929,5,0
exp_n2,0.004690811,5,0
exp_n2,0.009793605,5,0
exp_n2,0.0190193,5,2
exp_n2,0.040769128,5,2
exp_n2,0.004139965,5,0
exp_n2,0.008273432,5,0
exp_n2,0.015658205,5,1
exp_n2,0.001537147,10,2
exp_n2,0.004960931,10,2
exp_n2,0.011191361,10,6
exp_n2,0.024717517,10,10
exp_n2,0.045621882,10,10
exp_n2,0.003448442,9,0
exp_n2,0.00691947,9,0
exp_n2,0.013681203,9,0
exp_n2,0.025048561,9,3
exp_n2,0.055543837,9,5
exp_n2,0.001673753,10,2
exp_n2,0.006185697,10,1
exp_n2,0.009948566,10,3
exp_n2,0.018951698,10,1
exp_n2,0.039368232,10,8
exp_n2,0.003738799,9,0
exp_n2,0.007175545,9,3
exp_n2,0.015308832,9,4
exp_n2,0.031558739,9,8
exp_n2,0.064710534,9,8
exp_n2,0.013220028,3,1
exp_n2,0.018001235,3,2
exp_n2,0.022754898,3,2
exp_n2,0.027369204,3,3
exp_n2,0.041819135,3,3
exp_n3,0,285,15
exp_n3,0.002573819,5,0
exp_n3,0.00519537,5,2
exp_n3,0.010448565,5,2
exp_n3,0.021030418,5,5
exp_n3,0.044891977,5,5
exp_n3,0.002243872,5,0
exp_n3,0.004789756,5,0
exp_n3,0.009223733,5,0
exp_n3,0.018616105,5,2
exp_n3,0.040919977,5,3
exp_n3,0.003557483,5,0
exp_n3,0.008087859,5,1
exp_n3,0.015747108,5,1
exp_n3,0.001563159,10,3
exp_n3,0.00502759,10,1
exp_n3,0.011016215,10,6
exp_n3,0.020184674,10,10
exp_n3,0.05271236,10,10
exp_n3,0.003183997,9,0
exp_n3,0.006002164,9,0
exp_n3,0.013791036,9,1
exp_n3,0.027298814,9,4
exp_n3,0.053238447,9,8
exp_n3,0.003252021,10,2
exp_n3,0.005052627,10,3
exp_n3,0.010500971,10,3
exp_n3,0.019012632,10,4
exp_n3,0.02704011,10,7
exp_n3,0.003542656,9,1
exp_n3,0.007965687,9,2
exp_n3,0.015885388,9,2
exp_n3,0.033984672,9,6
exp_n3,0.069328857,9,9
exp_n3,0.01314994,3,2
exp_n3,0.0178319,3,1
exp_n3,0.022491618,3,3
exp_n3,0.02699514,3,3
exp_n3,0.041147184,3,3
exp_n4,0,285,8
exp_n4,0.002423572,5,0
exp_n4,0.005223406,5,3
exp_n4,0.009574547,5,3
exp_n4,0.021978779,5,5
exp_n4,0.044665701,5,5
exp_n4,0.002341807,5,0
exp_n4,0.00477249,5,0
exp_n4,0.00924103,5,0
exp_n4,0.018349382,5,3
exp_n4,0.038287821,5,4
exp_n4,0.004071634,5,0
exp_n4,0.007688375,5,0
exp_n4,0.016143148,5,4
exp_n4,0.001522691,10,3
exp_n4,0.004542174,10,5
exp_n4,0.011369504,10,8
exp_n4,0.022381521,10,6
exp_n4,0.041571021,10,10
exp_n4,0.003028445,9,0
exp_n4,0.006314341,9,0
exp_n4,0.014148914,9,0
exp_n4,0.027328865,9,1
exp_n4,0.052822082,9,2
exp_n4,0.001785836,10,0
exp_n4,0.003149076,10,0
exp_n4,0.006962565,10,4
exp_n4,0.015607449,10,7
exp_n4,0.043315202,10,8
exp_n4,0.003979032,9,0
exp_n4,0.00632407,9,3
exp_n4,0.015206932,9,4
exp_n4,0.032865874,9,5
exp_n4,0.060998533,9,8
exp_n4,0.01302124,3,0
exp_n4,0.017683116,3,1
exp_n4,0.022314517,3,3
exp_n4,0.026799854,3,3
exp_n4,0.040781632,3,3
exp_n5,0,285,15
exp_n5,0.002532347,5,0
exp_n5,0.005260987,5,1
exp_n5,0.010256759,5,4
exp_n5,0.021766036,5,5
exp_n5,0.044516187,5,5
exp_n5,0.002230377,5,0
exp_n5,0.004952733,5,0
exp_n5,0.010180612,5,0
exp_n5,0.020222694,5,2
exp_n5,0.043969538,5,5
exp_n5,0.003615009,5,0
exp_n5,0.007521051,5,0
exp_n5,0.015180078,5,3
exp_n5,0.001646851,10,3
exp_n5,0.006193397,10,3
exp_n5,0.012429732,10,4
exp_n5,0.026952823,10,10
exp_n5,0.051607076,10,10
exp_n5,0.003126507,9,0
exp_n5,0.006472813,9,0
exp_n5,0.01393801,9,2
exp_n5,0.028825934,9,0
exp_n5,0.057311379,9,4
exp_n5,0.00129939,10,0
exp_n5,0.003116436,10,2
exp_n5,0.008003821,10,2
exp_n5,0.021910287,10,6
exp_n5,0.043404332,10,7
exp_n5,0.003867248,9,3
exp_n5,0.007837533,9,6
exp_n5,0.0178106,9,5
exp_n5,0.033313512,9,6
exp_n5,0.073311917,9,9
exp_n5,0.01339427,3,0
exp_n5,0.0182595,3,0
exp_n5,0.023109273,3,2
exp_n5,0.02782149,3,3
exp_n5,0.042574128,3,3
exp_n6,0,285,12
exp_n6,0.00237764,5,0
exp_n6,0.005094496,5,3
exp_n6,0.010956925,5,5
exp_n6,0.022557168,5,5
exp_n6,0.039755312,5,5
exp_n6,0.002248243,5,0
exp_n6,0.004455205,5,0
exp_n6,0.009564493,5,0
exp_n6,0.018977697,5,3
exp_n6,0.03864851,5,5
exp_n6,0.00362933,5,0
exp_n6,0.006820378,5,0
exp_n6,0.015810628,5,3
exp_n6,0.001357788,10,5
exp_n6,0.005623125,10,6
exp_n6,0.011915223,10,5
exp_n6,0.021499533,10,10
exp_n6,0.0441078,10,10
exp_n6,0.002960403,9,0
exp_n6,0.006330555,9,0
exp_n6,0.012844981,9,1
exp_n6,0.028163663,9,2
exp_n6,0.053459452,9,6
exp_n6,0.002935222,10,3
exp_n6,0.003637409,10,1
exp_n6,0.008135068,10,0
exp_n6,0.010549522,10,7
exp_n6,0.041312718,10,9
exp_n6,0.003539274,9,1
exp_n6,0.007283333,9,5
exp_n6,0.015752607,9,1
exp_n6,0.03050615,9,4
exp_n6,0.057329704,9,8
exp_n6,0.012902972,3,0
exp_n6,0.01753596,3,0
exp_n6,0.022165469,3,2
exp_n6,0.026631756,3,2
exp_n6,0.040641111,3,3
exp_n7,0,285,9
exp_n7,0.002519998,5,0
exp_n7,0.005353426,5,1
exp_n7,0.010825339,5,5
exp_n7,0.023911398,5,5
exp_n7,0.048739072,5,5
exp_n7,0.002206949,5,0
exp_n7,0.005030115,5,0
exp_n7,0.010355011,5,0
exp_n7,0.021360417,5,2
exp_n7,0.044722305,5,5
exp_n7,0.004222937,5,0
exp_n7,0.008612404,5,2
exp_n7,0.016913174,5,2
exp_n7,0.001500113,10,3
exp_n7,0.006271164,10,3
exp_n7,0.011207553,10,8
exp_n7,0.024715605,10,9
exp_n7,0.067419235,10,10
exp_n7,0.003203923,9,0
exp_n7,0.007190862,9,0
exp_n7,0.015191994,9,1
exp_n7,0.03039891,9,0
exp_n7,0.062092341,9,3
exp_n7,0.001335824,10,0
exp_n7,0.004581461,10,1
exp_n7,0.009145083,10,2
exp_n7,0.024634997,10,3
exp_n7,0.049574131,10,9
exp_n7,0.003697906,9,2
exp_n7,0.007351168,9,0
exp_n7,0.017521429,9,6
exp_n7,0.033536291,9,5
exp_n7,0.076756224,9,9
exp_n7,0.013943096,3,1
exp_n7,0.019095884,3,2
exp_n7,0.024256677,3,2
exp_n7,0.029295192,3,2
exp_n7,0.045183491,3,3
exp_n8,0,285,9
exp_n8,0.002655474,5,0
exp_n8,0.005420226,5,1
exp_n8,0.010121522,5,5
exp_n8,0.021313187,5,5
exp_n8,0.047408681,5,5
exp_n8,0.00235534,5,0
exp_n8,0.004656504,5,0
exp_n8,0.009721247,5,0
exp_n8,0.019575774,5,1
exp_n8,0.040421646,5,5
exp_n8,0.003912508,5,0
exp_n8,0.007611978,5,1
exp_n8,0.014433327,5,5
exp_n8,0.001512864,10,2
exp_n8,0.005507787,10,3
exp_n8,0.011235421,10,4
exp_n8,0.023623376,10,10
exp_n8,0.049605625,10,10
exp_n8,0.003275854,9,0
exp_n8,0.006426139,9,0
exp_n8,0.01301556,9,1
exp_n8,0.024725024,9,4
exp_n8,0.057930144,9,6
exp_n8,0.002655219,10,2
exp_n8,0.004360125,10,2
exp_n8,0.010795501,10,6
exp_n8,0.014160152,10,5
exp_n8,0.035178897,10,8
exp_n8,0.00360866,9,0
exp_n8,0.007740708,9,2
exp_n8,0.014483751,9,4
exp_n8,0.03120483,9,2
exp_n8,0.064368254,9,9
exp_n8,0.013446938,3,0
exp_n8,0.018299648,3,1
exp_n8,0.023136946,3,2
exp_n8,0.027855892,3,3
exp_n8,0.042542952,3,3
exp_n9,0,285,13
exp_n9,0.002579324,5,0
exp_n9,0.005729223,5,2
exp_n9,0.011602052,5,5
exp_n9,0.023340209,5,5
exp_n9,0.043883584,5,5
exp_n9,0.002282133,5,0
exp_n9,0.004658643,5,0
exp_n9,0.009939826,5,0
exp_n9,0.020036761,5,1
exp_n9,0.040733699,5,4
exp_n9,0.003980951,5,0
exp_n9,0.008446752,5,1
exp_n9,0.018057785,5,5
exp_n9,0.001664941,10,4
exp_n9,0.005845351,10,2
exp_n9,0.010504805,10,5
exp_n9,0.02413913,10,8
exp_n9,0.046210585,10,10
exp_n9,0.003127328,9,0
exp_n9,0.006516479,9,0
exp_n9,0.013804699,9,0
exp_n9,0.026570446,9,0
exp_n9,0.05467084,9,6
exp_n9,0.003118549,10,0
exp_n9,0.002140223,10,3
exp_n9,0.006994035,10,1
exp_n9,0.01715249,10,5
exp_n9,0.035210374,10,7
exp_n9,0.003513464,9,2
exp_n9,0.007307748,9,3
exp_n9,0.015709012,9,3
exp_n9,0.032189497,9,5
exp_n9,0.072472114,9,9
exp_n9,0.01389928,3,1
exp_n9,0.018932101,3,1
exp_n9,0.023924819,3,1
exp_n9,0.028825235,3,3
exp_n9,0.044155957,3,3
exp_n10,0,285,17
exp_n10,0.002419754,5,0
exp_n10,0.00519083,5,3
exp_n10,0.011441746,5,5
