set,Dose,N,Effect
exp_n1,0,220,0
exp_n1,0.697159034,30,27
exp_n1,0.706303605,30,11
exp_n1,0.723016348,30,23
exp_n1,0.726499664,30,1
exp_n1,0.727477365,30,3
exp_n1,0.729333414,30,28
exp_n1,0.753686435,30,2
exp_n1,0.756205678,30,15
exp_n1,0.759299037,3,3
exp_n1,0.766466435,30,21
exp_n1,0.76753486,30,8
exp_n1,0.777370521,30,4
exp_n1,0.788148145,30,20
exp_n1,0.815053756,30,20
exp_n1,0.817483006,30,30
exp_n1,0.864698198,5,0
exp_n1,0.868443793,30,2
exp_n1,0.880427742,30,2
exp_n1,0.892385276,30,2
exp_n1,0.915495095,30,3
exp_n1,0.922461561,30,4
exp_n1,0.933980526,30,0
exp_n1,0.951124858,30,11
exp_n1,0.965649992,30,26
exp_n1,0.974097817,30,22
exp_n1,0.990967745,30,27
exp_n10,0,220,0
exp_n10,0.718169059,30,22
exp_n10,0.726489918,30,9
exp_n10,0.735101295,30,22
exp_n10,0.759597844,30,29
exp_n10,0.759898818,30,3
exp_n10,0.763180652,30,9
exp_n10,0.779457427,30,16
exp_n10,0.78502394,30,4
exp_n10,0.786813238,3,3
exp_n10,0.787545627,30,7
exp_n10,0.792072341,30,4
exp_n10,0.79221842,30,17
exp_n10,0.815720714,30,22
exp_n10,0.822718444,30,22
exp_n10,0.853357546,30,30
exp_n10,0.899607635,30,2
exp_n10,0.901011239,5,0
exp_n10,0.925256959,30,4
exp_n10,0.931437028,30,1
exp_n10,0.951345964,30,2
exp_n10,0.957342164,30,3
exp_n10,0.95785906,30,9
exp_n10,0.978004802,30,15
exp_n10,0.996686978,30,27
exp_n10,1.000029054,30,24
exp_n10,1.022714229,30,29
exp_n100,0,220,0
exp_n100,0.699574085,30,28
exp_n100,0.703609698,30,23
exp_n100,0.705982128,30,16
exp_n100,0.721853326,30,24
exp_n100,0.731662846,30,2
exp_n100,0.740823833,30,5
exp_n100,0.755506255,30,4
exp_n100,0.758946855,30,9
exp_n100,0.767956465,3,3
exp_n100,0.772671377,30,7
exp_n100,0.773597519,30,18
exp_n100,0.776386839,30,5
exp_n100,0.789041301,30,16
exp_n100,0.814291397,30,21
exp_n100,0.829894043,30,30
exp_n100,0.88134816,30,4
exp_n100,0.882740267,5,0
exp_n100,0.897297066,30,1
exp_n100,0.905403988,30,1
exp_n100,0.919286185,30,2
exp_n100,0.926231288,30,8
exp_n100,0.935550051,30,1
exp_n100,0.952215202,30,9
exp_n100,0.973057566,30,20
exp_n100,0.978925647,30,27
exp_n100,0.986723641,30,29
exp_n1000,0,220,0
exp_n1000,0.706646393,30,23
exp_n1000,0.716290242,30,12
exp_n1000,0.731380242,30,20
exp_n1000,0.733658339,30,28
exp_n1000,0.741647877,30,2
exp_n1000,0.74928531,30,4
exp_n1000,0.760206228,30,1
exp_n1000,0.774076114,30,9
exp_n1000,0.775478416,3,3
exp_n1000,0.780397658,30,7
exp_n1000,0.78167975,30,19
exp_n1000,0.78516524,30,8
exp_n1000,0.806053672,30,18
exp_n1000,0.822490144,30,18
exp_n1000,0.848439382,30,30
exp_n1000,0.869344414,30,3
exp_n1000,0.879663076,5,0
exp_n1000,0.896884342,30,2
exp_n1000,0.905276978,30,2
exp_n1000,0.933440604,30,3
exp_n1000,0.944231836,30,11
exp_n1000,0.946986308,30,3
exp_n1000,0.977802453,30,10
exp_n1000,0.980436321,30,28
exp_n1000,0.99766298,30,28
exp_n1000,1.013268414,30,30
exp_n101,0,220,0
exp_n101,0.693221341,30,22
exp_n101,0.697446801,30,17
exp_n101,0.717177015,30,21
exp_n101,0.725690255,30,4
exp_n101,0.728515797,30,28
exp_n101,0.730026422,30,10
exp_n101,0.747265724,30,14
exp_n101,0.755699249,3,3
exp_n101,0.756801039,30,2
exp_n101,0.762439353,30,23
exp_n101,0.768304115,30,3
exp_n101,0.775861375,30,9
exp_n101,0.787505669,30,15
exp_n101,0.810815929,30,20
exp_n101,0.818202128,30,30
exp_n101,0.862232568,30,3
exp_n101,0.866293287,5,0
exp_n101,0.884221282,30,4
exp_n101,0.898058053,30,0
exp_n101,0.915896836,30,1
exp_n101,0.929297745,30,2
exp_n101,0.93055535,30,11
exp_n101,0.951222997,30,16
exp_n101,0.960513839,30,27
exp_n101,0.971066731,30,22
exp_n101,0.987693559,30,30
exp_n102,0,220,0
exp_n102,0.695192422,30,26
exp_n102,0.706440818,30,21
exp_n102,0.720456976,30,20
exp_n102,0.728268732,30,1
exp_n102,0.728988634,30,14
exp_n102,0.741966498,30,29
exp_n102,0.756995621,30,5
exp_n102,0.757739594,30,17
exp_n102,0.760360162,3,3
exp_n102,0.769027077,30,21
exp_n102,0.772463825,30,12
exp_n102,0.774687495,30,6
exp_n102,0.775001927,30,19
