"","set","Dose","N","Effect"
"1","exp_n1",0,262,16
"2","exp_n1",0.6005716987558,30,1
"3","exp_n1",0.627238677649627,30,2
"4","exp_n1",0.686712198124752,30,30
"5","exp_n1",0.695756658717101,30,24
"6","exp_n1",0.699712581070944,30,28
"7","exp_n1",0.711074326462475,30,8
"8","exp_n1",0.715423499389683,30,1
"9","exp_n1",0.736453859699343,30,9
"10","exp_n1",0.74756737211589,3,3
"11","exp_n1",0.752659599579229,30,2
"12","exp_n1",0.771589489740168,30,19
"13","exp_n1",0.771929382201647,30,24
"14","exp_n1",0.772038622371237,30,14
"15","exp_n1",0.780364341198844,30,7
"16","exp_n1",0.784857637480326,30,5
"17","exp_n1",0.808508408427049,30,13
"18","exp_n1",0.86506585772782,5,0
"19","exp_n1",0.876343094230964,17,3
"20","exp_n1",0.881350732436636,30,4
"21","exp_n1",0.886438214366872,30,1
"22","exp_n1",0.904386661141418,30,12
"23","exp_n1",0.904532040464671,30,1
"24","exp_n1",0.908182485471913,36,1
"25","exp_n1",0.916469411722304,30,20
"26","exp_n1",0.924887810905613,30,16
"27","exp_n1",0.937094251420704,30,26
"28","exp_n1",0.949380537257501,30,21
"29","exp_n1",0.972196956140811,30,28
"30","exp_n10",0,262,16
"31","exp_n10",0.636113208445867,30,2
"32","exp_n10",0.681883829114058,30,30
"33","exp_n10",0.7187697434524,30,5
"34","exp_n10",0.71935153116585,30,21
"35","exp_n10",0.71944307104161,30,1
"36","exp_n10",0.720479432807734,30,26
"37","exp_n10",0.730445835531011,3,3
"38","exp_n10",0.730653448738574,30,0
"39","exp_n10",0.73567838487242,30,5
"40","exp_n10",0.766219678083121,30,7
"41","exp_n10",0.767580478800547,30,6
"42","exp_n10",0.769091891039663,30,13
"43","exp_n10",0.777701717942695,30,18
"44","exp_n10",0.793198194465328,30,17
"45","exp_n10",0.805742929039726,30,26
"46","exp_n10",0.829826551840221,30,12
"47","exp_n10",0.871437432632542,5,0
"48","exp_n10",0.896404623843922,30,2
"49","exp_n10",0.91205519531258,30,3
"50","exp_n10",0.921146555185601,36,4
"51","exp_n10",0.924742720292367,17,2
"52","exp_n10",0.932580279717415,30,17
"53","exp_n10",0.934502296975622,30,3
"54","exp_n10",0.947097683604931,30,23
"55","exp_n10",0.956676686841211,30,29
"56","exp_n10",0.956923793469658,30,18
"57","exp_n10",0.963573277351495,30,28
"58","exp_n10",1.02778995891809,30,21
"59","exp_n100",0,262,19
"60","exp_n100",0.639085048535255,30,5
"61","exp_n100",0.684158018601824,30,2
"62","exp_n100",0.692770185495572,30,6
"63","exp_n100",0.696418814437594,30,23
"64","exp_n100",0.709486405719663,30,30
"65","exp_n100",0.713061531533831,30,1
"66","exp_n100",0.720779304914971,30,2
"67","exp_n100",0.722080780731986,30,10
"68","exp_n100",0.733332067849318,30,30
"69","exp_n100",0.737683702249789,30,4
"70","exp_n100",0.743572252316022,3,3
"71","exp_n100",0.761246645100692,30,12
"72","exp_n100",0.77088974023369,30,15
"73","exp_n100",0.775109985550169,30,18
"74","exp_n100",0.781929552033063,30,17
"75","exp_n100",0.823205401126998,30,21
"76","exp_n100",0.86187152732475,5,0
"77","exp_n100",0.896473602618745,30,1
"78","exp_n100",0.907027092390319,30,2
"79","exp_n100",0.913486752206624,17,5
"80","exp_n100",0.923500544362426,30,13
"81","exp_n100",0.929408323011758,30,17
"82","exp_n100",0.932852326772034,30,0
"83","exp_n100",0.933236265360624,36,0
"84","exp_n100",0.939779626600903,30,14
"85","exp_n100",0.947195212657761,30,29
"86","exp_n100",0.976231387917491,30,26
"87","exp_n100",0.997985946618709,30,23
"88","exp_n1000",0,262,11
