set,Dose,N,Effect
exp_n1,0,295,17
exp_n1,0.446730455,30,5
exp_n1,0.734526875,30,4
exp_n1,0.769120725,5,0
exp_n1,0.76950867,30,2
exp_n1,0.786691441,30,17
exp_n1,0.806501837,30,8
exp_n1,0.816827321,30,17
exp_n1,0.823193125,30,18
exp_n1,0.83312656,30,22
exp_n1,0.919699012,30,7
exp_n1,1.350579579,30,2
exp_n1,1.480407982,30,3
exp_n1,1.715171017,73,0
exp_n1,1.9377777,30,4
exp_n1,2.391863612,77,0
exp_n1,2.764824523,30,8
exp_n1,3.074764811,30,11
exp_n1,3.915931278,30,10
exp_n1,4.747680298,30,24
exp_n1,5.788165298,30,14
exp_n1,6.294324694,30,21
exp_n1,7.892656033,3,3
exp_n1,7.908916916,30,18
exp_n1,11.95793579,30,25
exp_n1,12.79384867,30,24
exp_n1,16.41855164,30,30
exp_n1,23.36598613,30,29
exp_n1,51.32341952,30,30
exp_n10,0,295,23
exp_n10,0.419838222,30,4
exp_n10,0.59521375,5,0
exp_n10,0.68805652,30,2
exp_n10,0.720637552,30,6
exp_n10,0.745025718,30,14
exp_n10,0.763951059,30,19
exp_n10,0.771708028,30,1
exp_n10,0.789268836,30,23
exp_n10,0.846714136,30,21
exp_n10,0.909221597,30,3
exp_n10,1.351951258,30,3
exp_n10,1.457557886,30,2
exp_n10,1.59081801,73,0
exp_n10,1.803394801,30,5
exp_n10,2.434262495,77,0
exp_n10,2.65937275,30,3
exp_n10,2.851367497,30,8
exp_n10,3.864579582,30,8
exp_n10,4.703276728,30,24
exp_n10,5.399082511,30,12
exp_n10,6.034206042,30,19
exp_n10,7.490691867,3,3
exp_n10,7.858486279,30,12
exp_n10,11.0579739,30,24
exp_n10,12.4625729,30,25
exp_n10,15.33219294,30,28
exp_n10,23.51467322,30,29
exp_n10,51.27516263,30,30
exp_n100,0,295,16
exp_n100,0.448302505,30,2
exp_n100,0.72221121,5,0
exp_n100,0.74175222,30,2
exp_n100,0.752403147,30,6
exp_n100,0.784827154,30,20
exp_n100,0.786906529,30,2
exp_n100,0.788897439,30,18
exp_n100,0.806048007,30,9
exp_n100,0.815777566,30,21
exp_n100,0.928374274,30,6
exp_n100,1.339400795,30,3
exp_n100,1.489376688,30,6
exp_n100,1.701206436,73,0
exp_n100,1.880169502,30,1
exp_n100,2.489981879,77,0
exp_n100,2.726891176,30,4
exp_n100,2.953780588,30,10
exp_n100,3.974400605,30,12
exp_n100,4.838280542,30,25
exp_n100,5.643851385,30,20
exp_n100,6.150442609,30,13
exp_n100,7.797369851,30,14
exp_n100,8.006633237,3,3
exp_n100,11.42787464,30,28
exp_n100,12.42555456,30,26
exp_n100,15.5792953,30,28
exp_n100,23.43913112,30,29
exp_n100,51.06927741,30,30
exp_n1000,0,295,16
exp_n1000,0.423999696,30,8
exp_n1000,0.6121732,5,0
exp_n1000,0.665361251,30,1
exp_n1000,0.711349127,30,2
exp_n1000,0.727042001,30,1
exp_n1000,0.773326583,30,15
exp_n1000,0.778168415,30,20
exp_n1000,0.786684397,30,14
exp_n1000,0.828967001,30,21
exp_n1000,0.908890413,30,6
exp_n1000,1.333455709,30,1
exp_n1000,1.465951575,30,1
exp_n1000,1.713690337,73,0
exp_n1000,1.828737421,30,6
exp_n1000,2.315742568,77,0
exp_n1000,2.66167824,30,5
exp_n1000,2.871494596,30,9
exp_n1000,3.714711379,30,8
exp_n1000,4.669341734,30,24
exp_n1000,5.517713328,30,15
exp_n1000,6.051796165,30,18
exp_n1000,7.808943763,30,15
exp_n1000,8.291160628,3,3
exp_n1000,11.68560921,30,27
exp_n1000,12.90267148,30,26
exp_n1000,16.04590797,30,29
exp_n1000,24.27964092,30,30
exp_n1000,51.29701316,30,30
exp_n101,0,295,17
exp_n101,0.420467784,30,2
exp_n101,0.66796945,5,0
exp_n101,0.71547743,30,5
exp_n101,0.738248171,30,1
exp_n101,0.747504726,30,3
exp_n101,0.755002887,30,15
exp_n101,0.78112853,30,23
exp_n101,0.804185999,30,19
exp_n101,0.838954713,30,18
exp_n101,0.905312256,30,6
exp_n101,1.248531784,30,1
exp_n101,1.409804209,30,5
exp_n101,1.664481163,73,0
exp_n101,1.840352153,30,3
exp_n101,2.381738327,77,0
exp_n101,2.800172224,30,2
exp_n101,2.928502287,30,8
exp_n101,3.709974379,30,11
exp_n101,4.616037402,30,22
exp_n101,5.57308896,30,10
exp_n101,5.782039584,30,20
exp_n101,7.803379046,30,16
exp_n101,8.168687419,3,3
exp_n101,11.26068372,30,27
exp_n101,12.50077953,30,22
exp_n101,15.53974759,30,29
exp_n101,23.1025662,30,27
exp_n101,51.09974698,30,30
exp_n102,0,295,20
exp_n102,0.433583008,30,3
exp_n102,0.701562469,5,0
exp_n102,0.718358244,30,2
exp_n102,0.740540188,30,1
exp_n102,0.764237289,30,12
exp_n102,0.811108002,30,23
exp_n102,0.816691435,30,15
exp_n102,0.830920637,30,20
exp_n102,0.880207357,30,3
exp_n102,0.880235646,30,7
exp_n102,1.280821691,30,1
exp_n102,1.458269615,30,3
exp_n102,1.634806531,73,0
exp_n102,1.804156181,30,3
exp_n102,2.376762268,77,0
exp_n102,2.655975642,30,3
