"","Simulation","BMDSEstimates","order","Model"
"1","exp_n1.bmd",0.374480243989656,"bmds","ModelAverage"
"2","exp_n1.bmd",0.302215931730855,"bmdl","ModelAverage"
"3","exp_n1.bmd",0.50896487793541,"bmdu","ModelAverage"
"4","exp_n10.bmd",0.304792253465381,"bmds","ModelAverage"
"5","exp_n10.bmd",0.154857044434062,"bmdl","ModelAverage"
"6","exp_n10.bmd",0.405218874422912,"bmdu","ModelAverage"
"7","exp_n100.bmd",0.236834116252333,"bmds","ModelAverage"
"8","exp_n100.bmd",0.150317271443745,"bmdl","ModelAverage"
"9","exp_n100.bmd",0.405790876534141,"bmdu","ModelAverage"
"10","exp_n1000.bmd",0.340684652427419,"bmds","ModelAverage"
"11","exp_n1000.bmd",0.16874004869505,"bmdl","ModelAverage"
"12","exp_n1000.bmd",0.464087257629858,"bmdu","ModelAverage"
"13","exp_n101.bmd",0.583008782016773,"bmds","ModelAverage"
"14","exp_n101.bmd",0.50464055257929,"bmdl","ModelAverage"
"15","exp_n101.bmd",0.633011765488748,"bmdu","ModelAverage"
"16","exp_n102.bmd",0.347050091607651,"bmds","ModelAverage"
"17","exp_n102.bmd",0.161346158970764,"bmdl","ModelAverage"
"18","exp_n102.bmd",0.435631352650716,"bmdu","ModelAverage"
"19","exp_n103.bmd",0.33582590128869,"bmds","ModelAverage"
"20","exp_n103.bmd",0.153590881464632,"bmdl","ModelAverage"
"21","exp_n103.bmd",0.424099047246587,"bmdu","ModelAverage"
"22","exp_n104.bmd",0.334420842312716,"bmds","ModelAverage"
"23","exp_n104.bmd",0.187476546911211,"bmdl","ModelAverage"
"24","exp_n104.bmd",0.475120790854956,"bmdu","ModelAverage"
"25","exp_n105.bmd",0.339384580773953,"bmds","ModelAverage"
"26","exp_n105.bmd",0.17435053038571,"bmdl","ModelAverage"
"27","exp_n105.bmd",0.4602129505988,"bmdu","ModelAverage"
"28","exp_n106.bmd",0.510832869107604,"bmds","ModelAverage"
"29","exp_n106.bmd",0.343168992991825,"bmdl","ModelAverage"
"30","exp_n106.bmd",0.58826318967108,"bmdu","ModelAverage"
"31","exp_n107.bmd",0.292177144055572,"bmds","ModelAverage"
"32","exp_n107.bmd",0.163266869268609,"bmdl","ModelAverage"
"33","exp_n107.bmd",0.411328406110354,"bmdu","ModelAverage"
"34","exp_n108.bmd",0.298263448675512,"bmds","ModelAverage"
"35","exp_n108.bmd",0.154588117738422,"bmdl","ModelAverage"
"36","exp_n108.bmd",0.398829575549815,"bmdu","ModelAverage"
"37","exp_n109.bmd",0.378443643584796,"bmds","ModelAverage"
"38","exp_n109.bmd",0.324393199357998,"bmdl","ModelAverage"
"39","exp_n109.bmd",0.522687146035902,"bmdu","ModelAverage"
"40","exp_n11.bmd",0.511925980031394,"bmds","ModelAverage"
"41","exp_n11.bmd",0.340050714451176,"bmdl","ModelAverage"
"42","exp_n11.bmd",0.594550276059003,"bmdu","ModelAverage"
"43","exp_n110.bmd",0.387786811614703,"bmds","ModelAverage"
