"","Simulation","PosteriorProbs","Model"
"1","exp_n1.posterior_probs",0.0532967688809502,"gamma"
"2","exp_n1.posterior_probs",0.043440711922265,"hill"
"3","exp_n1.posterior_probs",0.232202218424665,"log-logistic"
"4","exp_n1.posterior_probs",0.181894964167156,"log-probit"
"5","exp_n1.posterior_probs",0.165561170681927,"logistic"
"6","exp_n1.posterior_probs",0.00324372325511134,"multistage"
"7","exp_n1.posterior_probs",0.211925213916341,"probit"
"8","exp_n1.posterior_probs",0.00905134654665236,"qlinear"
"9","exp_n1.posterior_probs",0.0993838822049321,"weibull"
"10","exp_n10.posterior_probs",0.0619685010965816,"gamma"
"11","exp_n10.posterior_probs",0.0757773522666023,"hill"
"12","exp_n10.posterior_probs",0.20732511135988,"log-logistic"
"13","exp_n10.posterior_probs",0.1601075737568,"log-probit"
"14","exp_n10.posterior_probs",0.0860540410170508,"logistic"
"15","exp_n10.posterior_probs",0.0116446048123834,"multistage"
"16","exp_n10.posterior_probs",0.216438286016676,"probit"
"17","exp_n10.posterior_probs",0.106421468675144,"qlinear"
"18","exp_n10.posterior_probs",0.0742630609988819,"weibull"
"19","exp_n100.posterior_probs",0.0753491969017657,"gamma"
"20","exp_n100.posterior_probs",0.0477793447577392,"hill"
"21","exp_n100.posterior_probs",0.186386650084296,"log-logistic"
"22","exp_n100.posterior_probs",0.220504551289915,"log-probit"
"23","exp_n100.posterior_probs",0.210961283681234,"logistic"
"24","exp_n100.posterior_probs",0.00158119292984527,"multistage"
"25","exp_n100.posterior_probs",0.149264373253099,"probit"
"26","exp_n100.posterior_probs",0.00903875492217893,"qlinear"
"27","exp_n100.posterior_probs",0.0991346521799277,"weibull"
"28","exp_n1000.posterior_probs",0.0208713743865056,"gamma"
"29","exp_n1000.posterior_probs",0.0627229237410267,"hill"
"30","exp_n1000.posterior_probs",0.203586087451289,"log-logistic"
"31","exp_n1000.posterior_probs",0.227101872134398,"log-probit"
"32","exp_n1000.posterior_probs",0.206519024175928,"logistic"
"33","exp_n1000.posterior_probs",0.00140301796564831,"multistage"
"34","exp_n1000.posterior_probs",0.153402122337808,"probit"
"35","exp_n1000.posterior_probs",0.0192415912943023,"qlinear"
"36","exp_n1000.posterior_probs",0.105151986513094,"weibull"
"37","exp_n101.posterior_probs",0.0776836437068029,"gamma"
"38","exp_n101.posterior_probs",0.0785759368131264,"hill"
"39","exp_n101.posterior_probs",0.144306502708441,"log-logistic"
"40","exp_n101.posterior_probs",0.139474444547536,"log-probit"
"41","exp_n101.posterior_probs",0.0510751138006945,"logistic"
"42","exp_n101.posterior_probs",0.00951525461015254,"multistage"
"43","exp_n101.posterior_probs",0.174993230040715,"probit"
"44","exp_n101.posterior_probs",0.254346218336704,"qlinear"
"45","exp_n101.posterior_probs",0.0700296554358279,"weibull"
"46","exp_n102.posterior_probs",0.0617646717187341,"gamma"
"47","exp_n102.posterior_probs",0.0783092669761187,"hill"
"48","exp_n102.posterior_probs",0.217549179090331,"log-logistic"
"49","exp_n102.posterior_probs",0.142580479491421,"log-probit"
"50","exp_n102.posterior_probs",0.0652969394337402,"logistic"
"51","exp_n102.posterior_probs",0.007068417192124,"multistage"
"52","exp_n102.posterior_probs",0.202105505831336,"probit"
"53","exp_n102.posterior_probs",0.155478353147155,"qlinear"
"54","exp_n102.posterior_probs",0.0698471871190401,"weibull"
"55","exp_n103.posterior_probs",0.0793206218208267,"gamma"
"56","exp_n103.posterior_probs",0.0708066147116993,"hill"
"57","exp_n103.posterior_probs",0.203848724239213,"log-logistic"
"58","exp_n103.posterior_probs",0.166070656273044,"log-probit"
"59","exp_n103.posterior_probs",0.107308664791568,"logistic"
"60","exp_n103.posterior_probs",0.00497580331183121,"multistage"
"61","exp_n103.posterior_probs",0.236745557322164,"probit"
"62","exp_n103.posterior_probs",0.0550215615504173,"qlinear"
"63","exp_n103.posterior_probs",0.0759017959792361,"weibull"
"64","exp_n104.posterior_probs",0.0631597265687926,"gamma"
"65","exp_n104.posterior_probs",0.08167092871162,"hill"
"66","exp_n104.posterior_probs",0.257299569125331,"log-logistic"
"67","exp_n104.posterior_probs",0.172599800414064,"log-probit"
"68","exp_n104.posterior_probs",0.0294587364082572,"logistic"
"69","exp_n104.posterior_probs",0.00943297792149393,"multistage"
"70","exp_n104.posterior_probs",0.236016686694421,"probit"
"71","exp_n104.posterior_probs",0.0616534798411261,"qlinear"
"72","exp_n104.posterior_probs",0.0887080943148935,"weibull"
"73","exp_n105.posterior_probs",0.0666481320104911,"gamma"
"74","exp_n105.posterior_probs",0.0712198631545707,"hill"
"75","exp_n105.posterior_probs",0.227487014399755,"log-logistic"
"76","exp_n105.posterior_probs",0.155511936532885,"log-probit"
"77","exp_n105.posterior_probs",0.0926891388143187,"logistic"
"78","exp_n105.posterior_probs",0.00588592417398276,"multistage"
"79","exp_n105.posterior_probs",0.239464811474711,"probit"
"80","exp_n105.posterior_probs",0.0633140828396051,"qlinear"
"81","exp_n105.posterior_probs",0.0777790965996805,"weibull"
"82","exp_n106.posterior_probs",0,"gamma"
"83","exp_n106.posterior_probs",0.0842360764894767,"hill"
"84","exp_n106.posterior_probs",0.161734545074914,"log-logistic"
"85","exp_n106.posterior_probs",0.145002946087056,"log-probit"
"86","exp_n106.posterior_probs",0.0500404482280548,"logistic"
"87","exp_n106.posterior_probs",0.00750872762727141,"multistage"
"88","exp_n106.posterior_probs",0.182927922138826,"probit"
"89","exp_n106.posterior_probs",0.294014336966092,"qlinear"
"90","exp_n106.posterior_probs",0.0745349973883101,"weibull"
"91","exp_n107.posterior_probs",0.130017694082543,"gamma"
"92","exp_n107.posterior_probs",0.0621068856760523,"hill"
"93","exp_n107.posterior_probs",0.21076157292208,"log-logistic"
"94","exp_n107.posterior_probs",0.18164664260136,"log-probit"
"95","exp_n107.posterior_probs",0.134216886728572,"logistic"
"96","exp_n107.posterior_probs",0.0020411179474119,"multistage"
"97","exp_n107.posterior_probs",0.152323073381978,"probit"
"98","exp_n107.posterior_probs",0.0304827183004233,"qlinear"
"99","exp_n107.posterior_probs",0.0964034083595799,"weibull"
"100","exp_n108.posterior_probs",0.0782126163308854,"gamma"
"101","exp_n108.posterior_probs",0.0712010416032054,"hill"
"102","exp_n108.posterior_probs",0.136350299154293,"log-logistic"
"103","exp_n108.posterior_probs",0.122073279627819,"log-probit"
"104","exp_n108.posterior_probs",0.0348417686575778,"logistic"
"105","exp_n108.posterior_probs",0.00733738265122746,"multistage"
"106","exp_n108.posterior_probs",0.157771142535362,"probit"
"107","exp_n108.posterior_probs",0.323311670741058,"qlinear"
"108","exp_n108.posterior_probs",0.0689007986985714,"weibull"
"109","exp_n109.posterior_probs",0.0731197289726517,"gamma"
"110","exp_n109.posterior_probs",0.0854371420713933,"hill"
"111","exp_n109.posterior_probs",0.0939199046745864,"log-logistic"
"112","exp_n109.posterior_probs",0.146774697878069,"log-probit"
"113","exp_n109.posterior_probs",0.0500170611719524,"logistic"
"114","exp_n109.posterior_probs",0.0116002792673153,"multistage"
"115","exp_n109.posterior_probs",0.160246868295129,"probit"
"116","exp_n109.posterior_probs",0.302685019228949,"qlinear"
"117","exp_n109.posterior_probs",0.0761992984399542,"weibull"
"118","exp_n11.posterior_probs",0.0630913670562119,"gamma"
"119","exp_n11.posterior_probs",0.0842467812482666,"hill"
"120","exp_n11.posterior_probs",0.147413810176742,"log-logistic"
"121","exp_n11.posterior_probs",0.151625379186125,"log-probit"
"122","exp_n11.posterior_probs",0.0677685811720304,"logistic"
"123","exp_n11.posterior_probs",0.0127970444286365,"multistage"
"124","exp_n11.posterior_probs",0.223863497046168,"probit"
