Study,Stage,Study_Type,Pesticide,Species,Family,Duration_h,Method,Application_Rate,Unit,Survival,Body_Weight_g,SD,Body_Length_mm,ExposedSkin_cm2,N_Rep,Rep,N_Exp,N_Total,adj_sur_96,SE,dermaldose,Mortality,death,Exp
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,Centrolenidae,96,Overspray,0,ug a.i./cm2,0.96,0.25,0.034053973,13.5,0.96,5,6,285,55,0.96,0.0076147,0,0.04,11,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,Centrolenidae,96,Overspray,18.6,ug a.i./cm2,1,0.25,0.034053973,13.5,0.96,5,1,5,55,1,0.0076147,0.002504019,0,0,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,Centrolenidae,96,Overspray,36.9,ug a.i./cm2,0.7,0.25,0.034053973,13.5,0.96,5,1,5,55,0.7,0.0076147,0.005115033,0.3,2,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,Centrolenidae,96,Overspray,73.8,ug a.i./cm2,0.1,0.25,0.034053973,13.5,0.96,5,1,5,55,0.1,0.0076147,0.010537219,0.9,4,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,Centrolenidae,96,Overspray,147.6,ug a.i./cm2,0,0.25,0.034053973,13.5,0.96,5,1,5,55,0,0.0076147,0.021707186,1,5,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,Centrolenidae,96,Overspray,295.2,ug a.i./cm2,0,0.25,0.034053973,13.5,0.96,5,1,5,55,0,0.0076147,0.044717866,1,5,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,Leptodactylidae,96,Overspray,18.6,ug a.i./cm2,1,0.18,0.018918874,12,0.75,5,1,5,55,1,0.004230389,0.003575658,0,0,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,Leptodactylidae,96,Overspray,36.9,ug a.i./cm2,1,0.18,0.018918874,12,0.75,5,1,5,55,1,0.004230389,0.007043673,0,0,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,Leptodactylidae,96,Overspray,73.8,ug a.i./cm2,1,0.18,0.018918874,12,0.75,5,1,5,55,1,0.004230389,0.014510311,0,0,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,Leptodactylidae,96,Overspray,147.6,ug a.i./cm2,0.7,0.18,0.018918874,12,0.75,5,1,5,55,0.7,0.004230389,0.02989195,0.3,2,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,Leptodactylidae,96,Overspray,295.2,ug a.i./cm2,0.2,0.18,0.018918874,12,0.75,5,1,5,55,0.2,0.004230389,0.06157888,0.8,4,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Pristimantis taeniatus,Craugastoridae,96,Overspray,18.6,ug a.i./cm2,1,0.85,0.109729467,20.4,2.18,5,1,5,55,1,0.024536255,0.00377353,0,0,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Pristimantis taeniatus,Craugastoridae,96,Overspray,36.9,ug a.i./cm2,0.8,0.85,0.109729467,20.4,2.18,5,1,5,55,0.8,0.024536255,0.007708301,0.2,1,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Pristimantis taeniatus,Craugastoridae,96,Overspray,73.8,ug a.i./cm2,0.3,0.85,0.109729467,20.4,2.18,5,1,5,55,0.3,0.024536255,0.015879478,0.7,4,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,Bufonidae,96,Overspray,18.6,ug a.i./cm2,0.65,0.063,0.016053197,8.5,0.38,10,1,10,110,0.65,0.003589604,0.001577734,0.35,4,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,Bufonidae,96,Overspray,36.9,ug a.i./cm2,0.65,0.063,0.016053197,8.5,0.38,10,1,10,110,0.65,0.003589604,0.003222884,0.35,4,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,Bufonidae,96,Overspray,73.8,ug a.i./cm2,0.45,0.063,0.016053197,8.5,0.38,10,1,10,110,0.45,0.003589604,0.006639299,0.55,6,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,Bufonidae,96,Overspray,147.6,ug a.i./cm2,0.1,0.063,0.016053197,8.5,0.38,10,1,10,110,0.1,0.003589604,0.013677281,0.9,9,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,Bufonidae,96,Overspray,295.2,ug a.i./cm2,0,0.063,0.016053197,8.5,0.38,10,1,10,110,0,0.003589604,0.028175867,1,10,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,Bufonidae,96,Overspray,18.6,ug a.i./cm2,1,0.114,0.018367347,10.4,0.56,9,1,9,81,1,0.004107064,0.00296012,0,0,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,Bufonidae,96,Overspray,36.9,ug a.i./cm2,1,0.114,0.018367347,10.4,0.56,9,1,9,81,1,0.004107064,0.006397585,0,0,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,Bufonidae,96,Overspray,73.8,ug a.i./cm2,0.94,0.114,0.018367347,10.4,0.56,9,1,9,81,0.94,0.004107064,0.013179338,0.06,1,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,Bufonidae,96,Overspray,147.6,ug a.i./cm2,0.78,0.114,0.018367347,10.4,0.56,9,1,9,81,0.78,0.004107064,0.027150082,0.22,2,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,Bufonidae,96,Overspray,295.2,ug a.i./cm2,0.33,0.114,0.018367347,10.4,0.56,9,1,9,81,0.33,0.004107064,0.055930498,0.67,6,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,Bufonidae,96,Overspray,18.6,ug a.i./cm2,0.9,0.05,0.042808524,7.7,0.31,10,1,10,110,0.9,0.009572277,0.002465815,0.1,1,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,Bufonidae,96,Overspray,36.9,ug a.i./cm2,0.85,0.05,0.042808524,7.7,0.31,10,1,10,110,0.85,0.009572277,0.005036993,0.15,2,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,Bufonidae,96,Overspray,73.8,ug a.i./cm2,0.65,0.05,0.042808524,7.7,0.31,10,1,10,110,0.65,0.009572277,0.010376452,0.35,4,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,Bufonidae,96,Overspray,147.6,ug a.i./cm2,0.5,0.05,0.042808524,7.7,0.31,10,1,10,110,0.5,0.009572277,0.021375999,0.5,5,1
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,Bufonidae,96,Overspray,295.2,ug a.i./cm2,0.2,0.05,0.042808524,7.7,0.31,10,1,10,110,0.2,0.009572277,0.044035604,0.8,8,1
