"","set","Dose","N","Effect"
"1","exp_n1",0,30,0
"2","exp_n1",0.697205850043014,2,0
"3","exp_n1",0.700716645473081,30,4
"4","exp_n1",0.702490978241433,30,22
"5","exp_n1",0.734075308664963,30,19
"6","exp_n1",0.742444842103055,30,7
"7","exp_n1",0.746634350157175,2,0
"8","exp_n1",0.746828943758419,71,0
"9","exp_n1",0.753433674752884,30,7
"10","exp_n1",0.764388322454405,3,3
"11","exp_n1",0.767265506916875,3,0
"12","exp_n1",0.768177960339371,30,7
"13","exp_n1",0.789298988169297,30,21
"14","exp_n1",0.827310858212928,4,0
"15","exp_n1",0.82851906558742,30,25
"16","exp_n1",0.836099881339441,30,0
"17","exp_n1",0.839817967678103,30,3
"18","exp_n1",0.841059750104528,1,0
"19","exp_n1",0.841644315281148,5,0
"20","exp_n1",0.845450315903708,30,5
"21","exp_n1",0.848647130844622,30,30
"22","exp_n1",0.854003091169545,4,0
"23","exp_n1",0.857050070438822,30,2
"24","exp_n1",0.89616287383422,30,1
"25","exp_n1",0.908523266142849,30,3
"26","exp_n1",0.909068794903076,17,5
"27","exp_n1",0.909513519145962,30,30
"28","exp_n1",0.909568470005715,73,0
"29","exp_n1",0.91124018126633,30,3
"30","exp_n1",0.927156352147275,36,2
"31","exp_n1",0.943424636689369,30,14
"32","exp_n1",0.951643542251375,2,1
"33","exp_n1",0.983458197177137,30,30
"34","exp_n1",0.99179002699943,30,13
"35","exp_n1",0.99222022212322,30,15
"36","exp_n1",0.996733109350577,30,20
"37","exp_n1",0.999514076433235,30,15
"38","exp_n1",1.02808390979742,30,29
"39","exp_n1",1.05996284612201,4,1
"40","exp_n10",0,30,0
"41","exp_n10",0.68495536465378,2,0
"42","exp_n10",0.688135457079376,30,22
"43","exp_n10",0.698964183052324,30,6
"44","exp_n10",0.705321377965264,30,20
"45","exp_n10",0.732582101418673,71,0
"46","exp_n10",0.739563039811473,30,13
"47","exp_n10",0.740413472945564,30,6
"48","exp_n10",0.741059834590557,2,0
"49","exp_n10",0.744307368525818,3,3
"50","exp_n10",0.747363938583095,3,0
"51","exp_n10",0.758190088960481,30,6
"52","exp_n10",0.785888768551379,4,0
