"","Simulation","BMDSEstimates","order","Model"
"1","exp_n1.bmd",0.394894764786648,"bmds","ModelAverage"
"2","exp_n1.bmd",0.208792058336972,"bmdl","ModelAverage"
"3","exp_n1.bmd",0.471556544473597,"bmdu","ModelAverage"
"4","exp_n10.bmd",0.250873453564062,"bmds","ModelAverage"
"5","exp_n10.bmd",0.134390356295833,"bmdl","ModelAverage"
"6","exp_n10.bmd",0.439317170656962,"bmdu","ModelAverage"
"7","exp_n100.bmd",0.408570760236697,"bmds","ModelAverage"
"8","exp_n100.bmd",0.229680081090032,"bmdl","ModelAverage"
"9","exp_n100.bmd",0.484155252044467,"bmdu","ModelAverage"
"10","exp_n1000.bmd",0.464541717961969,"bmds","ModelAverage"
"11","exp_n1000.bmd",0.410299475862684,"bmdl","ModelAverage"
"12","exp_n1000.bmd",0.541907001432533,"bmdu","ModelAverage"
"13","exp_n101.bmd",0.260495339687173,"bmds","ModelAverage"
"14","exp_n101.bmd",0.0521695142519736,"bmdl","ModelAverage"
"15","exp_n101.bmd",0.422956069515635,"bmdu","ModelAverage"
"16","exp_n102.bmd",0.368077129203027,"bmds","ModelAverage"
"17","exp_n102.bmd",0.203813300507682,"bmdl","ModelAverage"
"18","exp_n102.bmd",0.454380241675221,"bmdu","ModelAverage"
"19","exp_n103.bmd",0.423084465603152,"bmds","ModelAverage"
"20","exp_n103.bmd",0.370102167115632,"bmdl","ModelAverage"
"21","exp_n103.bmd",0.553039329982782,"bmdu","ModelAverage"
"22","exp_n104.bmd",0.417360833844815,"bmds","ModelAverage"
"23","exp_n104.bmd",0.238773068299921,"bmdl","ModelAverage"
"24","exp_n104.bmd",0.493199298964852,"bmdu","ModelAverage"
"25","exp_n105.bmd",0.405625226286381,"bmds","ModelAverage"
"26","exp_n105.bmd",0.222697327874405,"bmdl","ModelAverage"
"27","exp_n105.bmd",0.480139194451593,"bmdu","ModelAverage"
"28","exp_n106.bmd",0.425602675599238,"bmds","ModelAverage"
"29","exp_n106.bmd",0.230520082937709,"bmdl","ModelAverage"
"30","exp_n106.bmd",0.51029544176631,"bmdu","ModelAverage"
"31","exp_n107.bmd",0.216078274894417,"bmds","ModelAverage"
"32","exp_n107.bmd",0.125024860799592,"bmdl","ModelAverage"
"33","exp_n107.bmd",0.39239601583755,"bmdu","ModelAverage"
"34","exp_n108.bmd",0.405051153019625,"bmds","ModelAverage"
"35","exp_n108.bmd",0.236401132839005,"bmdl","ModelAverage"
"36","exp_n108.bmd",0.494873696970185,"bmdu","ModelAverage"
"37","exp_n109.bmd",0.387526872069507,"bmds","ModelAverage"
"38","exp_n109.bmd",0.222962624957817,"bmdl","ModelAverage"
"39","exp_n109.bmd",0.466647243572742,"bmdu","ModelAverage"
"40","exp_n11.bmd",0.25174090709685,"bmds","ModelAverage"
"41","exp_n11.bmd",0.146733542833985,"bmdl","ModelAverage"
"42","exp_n11.bmd",0.42413828078081,"bmdu","ModelAverage"
"43","exp_n110.bmd",0.438200050082483,"bmds","ModelAverage"
"44","exp_n110.bmd",0.261603137396845,"bmdl","ModelAverage"
"45","exp_n110.bmd",0.515491986447098,"bmdu","ModelAverage"
"46","exp_n111.bmd",0.410625967867487,"bmds","ModelAverage"
"47","exp_n111.bmd",0.359071164902418,"bmdl","ModelAverage"
"48","exp_n111.bmd",0.538224782515889,"bmdu","ModelAverage"
"49","exp_n112.bmd",0.247632334767964,"bmds","ModelAverage"
"50","exp_n112.bmd",0.178263173074775,"bmdl","ModelAverage"
"51","exp_n112.bmd",0.43069989605403,"bmdu","ModelAverage"
"52","exp_n113.bmd",0.402826261966399,"bmds","ModelAverage"
"53","exp_n113.bmd",0.228079748973224,"bmdl","ModelAverage"
"54","exp_n113.bmd",0.487108682910032,"bmdu","ModelAverage"
"55","exp_n114.bmd",0.699078518803005,"bmds","ModelAverage"
"56","exp_n114.bmd",0.656446221626351,"bmdl","ModelAverage"
"57","exp_n114.bmd",0.740033651210302,"bmdu","ModelAverage"
"58","exp_n115.bmd",0.432786151371564,"bmds","ModelAverage"
"59","exp_n115.bmd",0.360877968922796,"bmdl","ModelAverage"
"60","exp_n115.bmd",0.575760799279129,"bmdu","ModelAverage"
"61","exp_n116.bmd",0.439224740339757,"bmds","ModelAverage"
"62","exp_n116.bmd",0.378457963524543,"bmdl","ModelAverage"
"63","exp_n116.bmd",0.55264510045496,"bmdu","ModelAverage"
"64","exp_n117.bmd",0.415027264527928,"bmds","ModelAverage"
"65","exp_n117.bmd",0.328307303551505,"bmdl","ModelAverage"
"66","exp_n117.bmd",0.537990500064328,"bmdu","ModelAverage"
